,R.No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJECTS,735001,735002,735003,735004,735005,735006,735007,735008,735009,735010,735011,735012,735013,735014,735015,735016,735017,735018,735019,735020,735021,735022,735023,735024,735025,735026,735027,735028,735029,735030,735031,735032,735033,735034,735035,735036,735037,735038,735039,735040,735041,735042,735043,735044,735045,735046,735047,735048,735049,735050,735051,735052,735053,735054,735055,735056,735057,735058,735059,735060
COMP,7,5,8,4,6,6,3,7,8,6,4,7,7,5,6,6,7,7,7,6,7,6,5,6,7,7,6,7,8,7,7,6,5,6,7,7,7,6,7,6,6,7,5,7,6,7,6,7,7,6,8,7,7,7,6,7,7,6,7,6
EE,8,9,7,6,7,7,6,5,6,7,6,8,7,6,7,5,6,6,6,7,6,7,6,7,6,5,6,5,6,6,7,6,7,5,6,5,7,7,6,6,7,7,6,5,5,5,7,6,5,7,7,8,8,5,6,8,7,7,7,7
DC,6,8,7,5,8,7,8,7,7,8,7,5,6,7,8,6,8,7,5,8,6,6,8,7,5,6,5,7,7,7,7,8,6,7,7,6,5,5,9,4,6,6,4,5,6,6,6,5,6,8,6,8,4,8,9,5,7,7,5,7
JAVA,8,4,5,6,4,6,8,6,7,7,6,5,6,6,7,6,6,5,7,8,5,8,7,6,7,8,6,6,5,6,6,7,5,6,6,7,8,4,7,7,5,6,7,6,7,5,5,7,5,8,8,6,6,8,7,8,5,6,7,7
FDS,4,6,8,4,5,8,5,7,5,8,7,6,6,7,6,7,8,6,6,8,7,6,7,8,9,8,7,8,7,5,5,6,7,8,6,6,7,6,5,6,6,7,6,5,6,5,5,6,8,7,6,5,8,6,6,7,5,5,7,6
DAA,8,6,7,7,8,5,6,7,7,8,6,7,7,8,6,7,8,7,6,7,8,7,8,6,8,7,8,6,7,7,8,5,8,7,7,7,8,7,6,5,7,6,6,7,6,5,4,6,7,6,5,7,7,5,7,6,6,7,8,5
